index,id,drive_time,replication,scenario
0,Truck2,62,2,0
0,Truck31,62,2,0
0,Truck25,71,2,0
0,Truck38,62,2,0
0,Truck58,62,2,0
0,Truck115,62,2,0
0,Truck116,71,2,0
0,Truck128,62,2,0
0,Truck135,62,2,0
0,Truck136,62,2,0
0,Truck130,71,2,0
0,Truck126,72,2,0
0,Truck9,163,2,0
0,Truck144,71,2,0
0,Truck157,62,2,0
0,Truck170,62,2,0
0,Truck19,174,2,0
0,Truck178,62,2,0
0,Truck26,174,2,0
0,Truck30,174,2,0
0,Truck42,164,2,0
0,Truck199,62,2,0
0,Truck193,71,2,0
0,Truck213,62,2,0
0,Truck207,71,2,0
0,Truck226,62,2,0
0,Truck86,163,2,0
0,Truck72,174,2,0
0,Truck75,174,2,0
0,Truck84,164,2,0
0,Truck10,220,2,0
0,Truck23,210,2,0
0,Truck93,163,2,0
0,Truck82,174,2,0
0,Truck14,221,2,0
0,Truck228,71,2,0
0,Truck24,220,2,0
0,Truck235,71,2,0
0,Truck12,232,2,0
0,Truck231,72,2,0
0,Truck248,62,2,0
0,Truck28,221,2,0
0,Truck17,232,2,0
0,Truck112,164,2,0
0,Truck51,210,2,0
0,Truck249,71,2,0
0,Truck110,174,2,0
0,Truck256,71,2,0
0,Truck275,62,2,0
0,Truck276,62,2,0
0,Truck282,62,2,0
0,Truck81,210,2,0
0,Truck52,232,2,0
0,Truck54,232,2,0
0,Truck4,268,2,0
0,Truck147,164,2,0
0,Truck11,268,2,0
0,Truck156,163,2,0
0,Truck154,164,2,0
0,Truck68,232,2,0
0,Truck304,62,2,0
0,Truck5,279,2,0
0,Truck152,174,2,0
0,Truck100,210,2,0
0,Truck298,71,2,0
0,Truck8,279,2,0
0,Truck168,164,2,0
0,Truck20,275,2,0
0,Truck91,221,2,0
0,Truck163,174,2,0
0,Truck98,221,2,0
0,Truck312,71,2,0
0,Truck331,62,2,0
0,Truck332,62,2,0
0,Truck45,268,2,0
0,Truck15,290,2,0
0,Truck16,290,2,0
0,Truck35,276,2,0
0,Truck101,232,2,0
0,Truck53,268,2,0
0,Truck198,163,2,0
0,Truck36,279,2,0
0,Truck196,164,2,0
0,Truck345,62,2,0
0,Truck29,290,2,0
0,Truck212,163,2,0
0,Truck122,232,2,0
0,Truck57,279,2,0
0,Truck205,174,2,0
0,Truck208,174,2,0
0,Truck41,295,2,0
0,Truck43,290,2,0
0,Truck44,290,2,0
0,Truck143,220,2,0
0,Truck366,62,2,0
0,Truck46,295,2,0
0,Truck361,71,2,0
0,Truck357,72,2,0
0,Truck374,62,2,0
0,Truck233,163,2,0
0,Truck77,276,2,0
0,Truck0,333,2,0
0,Truck95,268,2,0
0,Truck78,279,2,0
0,Truck65,290,2,0
0,Truck371,72,2,0
0,Truck388,62,2,0
0,Truck85,279,2,0
0,Truck89,279,2,0
0,Truck236,174,2,0
0,Truck67,295,2,0
0,Truck71,290,2,0
0,Truck395,62,2,0
0,Truck254,163,2,0
0,Truck104,275,2,0
0,Truck191,210,2,0
0,Truck1,347,2,0
0,Truck166,232,2,0
0,Truck21,333,2,0
0,Truck259,164,2,0
0,Truck173,232,2,0
0,Truck408,62,2,0
0,Truck409,62,2,0
0,Truck268,163,2,0
0,Truck106,279,2,0
0,Truck88,295,2,0
0,Truck399,72,2,0
0,Truck416,62,2,0
0,Truck261,174,2,0
0,Truck264,174,2,0
0,Truck97,295,2,0
0,Truck422,62,2,0
0,Truck124,279,2,0
0,Truck206,220,2,0
0,Truck221,210,2,0
0,Truck114,290,2,0
0,Truck133,276,2,0
0,Truck151,268,2,0
0,Truck37,352,2,0
0,Truck63,333,2,0
0,Truck127,290,2,0
0,Truck227,220,2,0
0,Truck434,72,2,0
0,Truck451,62,2,0
0,Truck70,333,2,0
0,Truck310,163,2,0
0,Truck296,174,2,0
0,Truck299,174,2,0
0,Truck160,275,2,0
0,Truck441,72,2,0
0,Truck457,62,2,0
0,Truck172,268,2,0
